split,ae_error,if_anomaly,risk_score
train,0.016334841,-0.1160235815551062,0.0
train,0.015681654,-0.1203019867463438,0.0
train,0.015106418,-0.1221432575304438,0.0
train,0.014586609,-0.1132659142005648,0.0
train,0.014346172,-0.1120963868404549,0.0
train,0.014407618,-0.1104354525651619,0.0
train,0.015003847,-0.108594808838593,0.0
train,0.015165276,-0.1078573654302923,0.0
train,0.0153526105,-0.1079023587263462,0.0
train,0.01591796,-0.1011635137117283,0.0
train,0.016031576,-0.0992700396165256,0.0
train,0.016203672,-0.0981847587250642,0.0
train,0.016655205,-0.1038965822078579,0.0
train,0.018158816,-0.1137472907426208,0.0
train,0.019365141,-0.1175136456754356,0.0
train,0.01991977,-0.1096695813021131,0.0
train,0.022365151,-0.0833483080952683,0.0
train,0.025462486,-0.0559782352661076,0.05197988521996354
train,0.026483692,-0.0510688995697196,0.06690740782605946
train,0.026142662,-0.0631050196794401,0.030309899295581786
train,0.025444992,-0.0895424742414316,0.0
train,0.025905803,-0.0890761638661843,0.0
train,0.026663005,-0.0804155881625846,0.0
train,0.025408126,-0.0860925661594533,0.0
train,0.02318669,-0.0973496482902829,0.0
train,0.021423109,-0.1104631632157995,0.0
train,0.02073021,-0.1114843230752449,0.0
train,0.020707848,-0.1131547390622754,0.0
train,0.021378258,-0.1053103662343335,0.0
train,0.0232738,-0.099575062494106,0.0
train,0.025612913,-0.0870666580537942,0.0
train,0.027486166,-0.0902515018516056,0.0
train,0.02929398,-0.0837184167642388,0.0
train,0.031202866,-0.0714365773826111,0.0049766314871527596
train,0.03205598,-0.0799536313210307,0.0
train,0.03129331,-0.0897449981721723,0.0
train,0.029499955,-0.0966226159737209,0.0
train,0.027721304,-0.0985047078542347,0.0
train,0.026730396,-0.097871651071829,0.0
train,0.02632423,-0.0910128764873428,0.0
train,0.025379263,-0.092807699799449,0.0
train,0.02462542,-0.0885762106675444,0.0
train,0.025155008,-0.0906993671049086,0.0
train,0.025746716,-0.0919150002811213,0.0
train,0.025288349,-0.0814505114144524,0.0
train,0.023596449,-0.0922981343858334,0.0
train,0.022391895,-0.1009837353647856,0.0
train,0.022834897,-0.0950232258713431,0.0
train,0.023065394,-0.0908902473420598,0.0
train,0.022964183,-0.0974526552181674,0.0
train,0.023559587,-0.0924027795432696,0.0
train,0.02492057,-0.0954602173601734,0.0
train,0.026143868,-0.0927599105886305,0.0
train,0.026868485,-0.1019624264266965,0.0
train,0.028108196,-0.1084622745692284,0.0
train,0.029573122,-0.1058746212846912,0.0
train,0.03033962,-0.0966181661662031,0.0
train,0.029868683,-0.0949181796577526,0.0
train,0.02853485,-0.1067807227879754,0.0
train,0.027363056,-0.112214000114777,0.0
train,0.026358845,-0.1140451843632789,0.0
train,0.02569627,-0.1072075816712653,0.0
train,0.024813423,-0.1018301835506544,0.0
train,0.023225375,-0.1043092314173473,0.0
train,0.021985568,-0.1105035367232707,0.0
train,0.021535154,-0.1074613914124289,0.0
train,0.021693118,-0.1044136543801484,0.0
train,0.021912975,-0.1039165161524612,0.0
train,0.02236788,-0.1030661554848356,0.0
train,0.022833506,-0.1152906860675048,0.0
train,0.02301811,-0.1215425020973023,0.0
train,0.02323229,-0.1144425284517659,0.0
train,0.02386373,-0.110091466088573,0.0
train,0.024744209,-0.1077875446906839,0.0
train,0.025719967,-0.1012544255849755,0.0
train,0.025450028,-0.0970609835359996,0.0
train,0.025245296,-0.0958576062720538,0.0
train,0.025420226,-0.0998924961639768,0.0
train,0.026705466,-0.0965732048090667,0.0
train,0.028717365,-0.0816566789246743,0.0
train,0.028938584,-0.0777936383724409,0.0
train,0.027563721,-0.0770446729092102,0.0
train,0.026545502,-0.0855508439303758,0.0
train,0.026554871,-0.0842025938432426,0.0
train,0.025764996,-0.0716931258601723,0.004196559918371663
train,0.024516148,-0.0855639940539708,0.0
train,0.023375323,-0.0988866666623157,0.0
train,0.022826564,-0.099584751736809,0.0
train,0.022693941,-0.0822022976682637,0.0
train,0.022334078,-0.0674261286035416,0.017170962556058007
train,0.021813095,-0.0749162988812899,0.0
train,0.022023013,-0.0879284779496399,0.0
train,0.023465957,-0.0951138077371759,0.0
train,0.02578688,-0.0761841413438396,0.0
train,0.028006103,-0.0766767945149508,0.0
train,0.029451486,-0.0849919599871729,0.0
train,0.030323956,-0.1011309668946666,0.0
train,0.031171335,-0.1126613590440727,0.0
train,0.03150374,-0.1089092305925766,0.0
train,0.031260457,-0.107797232590073,0.0
train,0.03165463,-0.0991780276042028,0.0
train,0.032632932,-0.0906297457932401,0.0
train,0.032911472,-0.0794267617837667,0.0
train,0.03299605,-0.0954565832416546,0.0
train,0.033094168,-0.0955096004665072,0.0
train,0.03312232,-0.1026798770726482,0.0
train,0.033259347,-0.1098164116796486,0.0
train,0.033598438,-0.117441914563038,0.0
train,0.034068268,-0.118214959370819,0.0
train,0.03421458,-0.1184778330618707,0.0
train,0.03435457,-0.1171879369537203,0.0
train,0.034157354,-0.1051796880805232,0.0
train,0.033211097,-0.0829652675095233,0.0
train,0.03348611,-0.0752805747391467,0.0
train,0.03492191,-0.0660770377512444,0.021273062196577656
train,0.036046207,-0.0603206718532247,0.03877609873467174
train,0.03549793,-0.0643217340663688,0.026610308833800306
train,0.034089155,-0.0705805383782786,0.0075795379452046835
train,0.03326898,-0.099141971444446,0.0
train,0.03354721,-0.1127447902569076,0.0
train,0.03347222,-0.1072869078710001,0.0
train,0.033372704,-0.1046106907043626,0.0
train,0.032966174,-0.1032674661905641,0.0
train,0.032117262,-0.1055290461741242,0.0
train,0.030874364,-0.1058996892043498,0.0
train,0.030211069,-0.1108775434355516,0.0
train,0.030449219,-0.1169301971787949,0.0
train,0.03083132,-0.1182287287876981,0.0
train,0.031230606,-0.1155023658702961,0.0
train,0.0323209,-0.1024988129054185,0.0
train,0.033079527,-0.0725087640450784,0.0017164978088404696
train,0.037192073,-0.0152530521287881,0.1758105070222186
train,0.04396556,0.0078306316539314,0.24599967981641932
train,0.04535727,0.0074267033464866,0.2447714792382717
train,0.042480536,-0.0073614481027013,0.19980603407172148
train,0.036327824,-0.0419847562972005,0.09452901743758231
train,0.031248173,-0.0794144535806606,0.0
train,0.029087087,-0.070677315051035,0.007285274920702862
train,0.025180127,-0.0823822739289872,0.0
train,0.02337417,-0.0908833703511111,0.0
train,0.022759367,-0.0889229858221375,0.0
train,0.02294752,-0.0921184633535568,0.0
train,0.024729852,-0.0725725546840349,0.0015225334389195148
train,0.026987437,-0.0632977562059501,0.02972385689912981
train,0.030224524,-0.0607081555636638,0.03759790025634619
train,0.033257656,-0.0685180058675527,0.013850956846609402
train,0.035008207,-0.090496452419677,0.0
train,0.035590425,-0.10556123910065,0.0
train,0.03551135,-0.0972510367922867,0.0
train,0.03439151,-0.0899521811033209,0.0
train,0.03261046,-0.0741381031857558,0.0
train,0.030815026,-0.0741198423963542,0.0
train,0.028339395,-0.0847398820984232,0.0
train,0.02644723,-0.0850506700135162,0.0
train,0.025083665,-0.0985890275837516,0.0
train,0.024189953,-0.098195771353643,0.0
train,0.023328641,-0.0957408094095711,0.0
train,0.022050135,-0.0971627913915433,0.0
train,0.020959951,-0.1108782657902441,0.0
train,0.020632647,-0.1218921765249883,0.0
train,0.02087117,-0.1098865306128175,0.0
train,0.021059625,-0.1049219561744749,0.0
train,0.021268865,-0.0941546698811673,0.0
train,0.021925954,-0.0821988186777401,0.0
train,0.02358447,-0.0718119019605167,0.003835404553856776
train,0.026892265,-0.0530120571930187,0.06099896498513779
train,0.03159826,-0.0412713830312206,0.09669812874165024
train,0.034349307,-0.0429906451837038,0.09147047143031982
train,0.034380633,-0.0479910225374888,0.07626612391695795
train,0.03291507,-0.0689426183318606,0.012559863193256316
train,0.031188343,-0.0894175814366085,0.0
train,0.029630981,-0.1004205679788094,0.0
train,0.027470993,-0.1027209248034954,0.0
train,0.025254732,-0.0995796709184008,0.0
train,0.023144014,-0.0989150804613749,0.0
train,0.02130375,-0.112172572407736,0.0
train,0.019744582,-0.1174430324633094,0.0
train,0.019236337,-0.115381551706749,0.0
train,0.018909441,-0.1101289095768483,0.0
train,0.018796964,-0.1108648887564283,0.0
train,0.0193182,-0.1131321856977858,0.0
train,0.019616667,-0.114257302126843,0.0
train,0.019611176,-0.1080442395546125,0.0
train,0.019394912,-0.1101377375909735,0.0
train,0.019555803,-0.1109376912237438,0.0
train,0.02024092,-0.1072350168430738,0.0
train,0.021336764,-0.102751466334408,0.0
train,0.022806833,-0.1022059870795753,0.0
train,0.024683828,-0.1092676050096024,0.0
train,0.02731397,-0.116894551719642,0.0
train,0.030109683,-0.1122614227707262,0.0
train,0.03254651,-0.1084327611102898,0.0
train,0.034709394,-0.1103286653024412,0.0
train,0.036458123,-0.1098029515741839,0.0
train,0.037497927,-0.1080644769782634,0.0
train,0.03747054,-0.0989988121674416,0.0
train,0.03616131,-0.0995667158080189,0.0
train,0.03435511,-0.0961597184900135,0.0
train,0.032741997,-0.0910541725611276,0.0
train,0.031454958,-0.0953116774846811,0.0
train,0.030268686,-0.0949768011611275,0.0
train,0.029624442,-0.1013703716958012,0.0
train,0.02925401,-0.1068508012713838,0.0
train,0.028687153,-0.1138420834263239,0.0
train,0.027592383,-0.1077715913196886,0.0
train,0.026164208,-0.1098499980840148,0.0
train,0.025285764,-0.1104659698579537,0.0
train,0.024892401,-0.1136211245557735,0.0
train,0.025030298,-0.1114514411653958,0.0
train,0.026008584,-0.1106430111152655,0.0
train,0.027861098,-0.1037654111281971,0.0
train,0.028859815,-0.099967545351486,0.0
train,0.028541999,-0.099559577354307,0.0
train,0.0280669,-0.0977568735537422,0.0
train,0.02813833,-0.1002988815883567,0.0
train,0.028703945,-0.1017989431465674,0.0
train,0.02925872,-0.0954089697045427,0.0
train,0.02990617,-0.0826111444555879,0.0
train,0.030389488,-0.0874742743510278,0.0
train,0.03003066,-0.0987469930389161,0.0
train,0.029826012,-0.1069647126228137,0.0
train,0.05197553,0.0318424839968691,0.31901107908315857
train,0.046297684,0.0137595523064441,0.26402739324723
train,0.043471865,0.0187922270301633,0.2793299454362601
train,0.04068586,0.0001778832678997,0.22273042678585134
train,0.037586868,-0.0275359922212347,0.13846250777372163
train,0.03391115,-0.0596132837736147,0.04092701124151663
train,0.0321041,-0.0571709862929454,0.04835315870996647
train,0.031601656,-0.0468183467777583,0.07983180876631077
train,0.03148456,-0.0551423106476535,0.054521631071270164
train,0.031099724,-0.060875111412051,0.03709024762162141
train,0.029309008,-0.0739112458883223,0.0
train,0.029805413,-0.0648926531955128,0.024874349279675745
train,0.031279843,-0.0545540169709587,0.05631042037006389
train,0.030151222,-0.057761706518518,0.04655699114953647
train,0.028302452,-0.0700650254079052,0.009147027315435851
train,0.027226858,-0.078500555655017,0.0
train,0.027171072,-0.0915262563834565,0.0
train,0.027848912,-0.1033150870519808,0.0
train,0.028479107,-0.0977472564469613,0.0
train,0.02950257,-0.0830233316582803,0.0
train,0.029545367,-0.0681409735628164,0.014997376362455612
train,0.028601484,-0.0540759787740969,0.05776396244409277
train,0.026862016,-0.0544130157702668,0.05673915426421654
train,0.02452415,-0.0696814683711855,0.010313286192491876
train,0.022379193,-0.0700799416098689,0.009101672514749878
train,0.020961186,-0.0713795358273857,0.00515007432296057
train,0.01965794,-0.0719030437486781,0.003558275184981004
train,0.018615713,-0.0642262317173054,0.026900697098678598
train,0.017928509,-0.0538571371639683,0.05842938100260622
train,0.016928531,-0.0505743444061584,0.06841117205009753
train,0.016162999,-0.065178456284634,0.02400532496812014
train,0.015079015,-0.0788529172984185,0.0
train,0.013282999,-0.086230635505871,0.0
train,0.012198152,-0.095543886853572,0.0
train,0.011416974,-0.0914772620247518,0.0
train,0.01088944,-0.0932253235432282,0.0
train,0.010515947,-0.1018925199931121,0.0
train,0.010401866,-0.1089080944487764,0.0
train,0.011127129,-0.1073607553126136,0.0
train,0.012360529,-0.1005984024185429,0.0
train,0.012898004,-0.1008233140982915,0.0
train,0.013025699,-0.1017315198584726,0.0
train,0.012983949,-0.0949289334733091,0.0
train,0.013183741,-0.0972609140506657,0.0
train,0.013782989,-0.0966703711822338,0.0
train,0.014162279,-0.0913522285847774,0.0
train,0.014276396,-0.0924323147103897,0.0
train,0.013795371,-0.0924695714078958,0.0
train,0.013018575,-0.1009908571792695,0.0
train,0.012655716,-0.1082700764955109,0.0
train,0.012290146,-0.1070445250703358,0.0
train,0.01198397,-0.1075862299966454,0.0
train,0.011927176,-0.1159473637665363,0.0
train,0.012616975,-0.1166305114223308,0.0
train,0.013968951,-0.1089954158345637,0.0
train,0.015399014,-0.0995909957707897,0.0
train,0.016711613,-0.0841314746696387,0.0
train,0.017394833,-0.0956144048358156,0.0
train,0.018303126,-0.0886904235407661,0.0
train,0.019122683,-0.0850885167661005,0.0
train,0.01963265,-0.0952063057234089,0.0
train,0.019265706,-0.099827403783003,0.0
train,0.018331282,-0.1045198059325283,0.0
train,0.017843984,-0.0956683780453968,0.0
train,0.017037706,-0.0923151120327906,0.0
train,0.016362455,-0.0972891035611921,0.0
train,0.015484793,-0.0943956462997361,0.0
train,0.015207983,-0.0965956437762558,0.0
train,0.016519634,-0.0885083889922972,0.0
